CellId,AltFreq,AltPos,SepBF,Pval1,Pval2,PrMix,PrAve,PrOut,PrSing,WinModels,WinPr,MlpxRate,PrState1,Switch12,Switch21,ProbMlpx,PvalSep,PrBinSep,MinSampSize,Pswitch0_10,Pswitch10_20,Pswitch20_30,Pswitch30_40,Pswitch40_50,Pswitch50_60,Pswitch60_70,Pswitch70_80,Pswitch80_90,Pswitch90_100,Rule_5_5_5,PairId
PSIC042011Loc_DoubleSound,1100,6,6.8678,0.3224,0.1713,0.341026762,0.491302955,0.03554363,0.132126653,Average,0.491302955,0.56,0.56,0.33,0.35,0.62,0.02,0.09,5,0,0,0,0,1,3,6,0,0,0,TRUE,NA
YKIC110411_3Loc_DoubleSound,1100,-24,3.6898,0.3201,0.4351,0.136899618,0.051441639,0.489531076,0.322127666,Outside,0.489531076,0.44,0.82,0.21,0.42,0.42,0.01,0.05,5,0,0,0,3,3,1,0,0,0,0,TRUE,NA
PSIC111510Loc_DoubleSound,609,-6,6.9064,0.323,0.7351,0.141560755,0.487811465,0.003088943,0.367538836,Average,0.487811465,0.57,0.54,0.34,0.42,0.6,0,0.01,9,0,0,0,0,0,7,3,0,0,0,TRUE,NA
YKIC100711Loc_DoubleSound,609,-6,6.5653,0.4238,0.3171,0.275140533,0.486424644,0.041695032,0.196739791,Average,0.486424644,0.68,0.59,0.34,0.38,0.75,0,0,7,0,0,0,0,0,0,7,6,0,0,TRUE,NA
YKIC102711Loc_DoubleSound,903,24,31.9057,0.4275,0.3201,0.14904215,0.063798466,0.484554132,0.302605251,Outside,0.484554132,0.34,0.19,0.34,0.22,0.28,0,0,9,0,0,3,1,1,0,0,0,0,0,TRUE,NA
YKIC111011_2Loc_DoubleSound,500,-6,4.305,0.435,0.5631,0.263467332,0.2522522,0.000549267,0.483731201,Single,0.483731201,0.43,0.68,0.33,0.42,0.39,0,0.03,5,0,0,1,3,3,0,1,0,0,0,TRUE,NA
YKIC111011_2Loc_DoubleSound,1100,6,3.0111,0.4301,0.3285,0.188711085,0.324899919,0.004931865,0.481457131,Single,0.481457131,0.51,0.25,0.37,0.24,0.51,0.03,0.14,5,0,0,0,0,4,5,0,0,0,0,TRUE,NA
PSIC090910Loc_DoubleSound,903,-6,15.0231,0.1307,0.2446,0.481277279,0.297003395,0.00250639,0.219212936,Mixture,0.481277279,0.49,0.38,0.39,0.36,0.48,0,0,13,0,0,0,1,3,3,0,0,0,0,TRUE,NA
YKIC102711Loc_DoubleSound,609,-6,62.0892,0.3176,0.1415,0.154539955,0.067030831,0.297243799,0.481185415,Single,0.481185415,0.26,0.92,0.21,0.36,0.16,0,0,9,0,10,4,1,1,1,0,0,0,0,TRUE,NA
YKIC140516Loc_DoubleSound,500,24,6.8416,0.558,0.3348,0.170648615,0.201604238,0.148696388,0.479050759,Single,0.479050759,0.56,0.33,0.37,0.29,0.6,0,0,8,0,0,0,1,2,2,4,2,0,0,TRUE,1
YKIC111111_2Loc_DoubleSound,1100,-6,17.3838,0.5002,0.3455,0.235385391,0.214975514,0.070627821,0.479011274,Single,0.479011274,0.37,0.81,0.23,0.36,0.32,0.01,0,7,0,0,3,1,1,0,0,0,0,0,TRUE,NA
PSIC091010Loc_DoubleSound,609,24,3.375,0.4619,0.1433,0.478400412,0.130823366,0.083776125,0.307000097,Mixture,0.478400412,0.4,0.26,0.33,0.27,0.37,0.01,0.19,12,0,0,0,7,7,0,0,0,0,0,TRUE,NA
PSIC111910Loc_DoubleSound,609,-6,12.5276,0.5051,0.1968,0.4748848,0.398884638,0.000784956,0.125445606,Mixture,0.4748848,0.52,0.76,0.24,0.34,0.53,0,0,13,0,0,0,0,4,8,0,0,0,0,TRUE,NA
PSIC091510Loc_DoubleSound,903,-24,7.9659,0.29,0.7898,0.469585257,0.453933119,0.007478632,0.069002992,Mixture,0.469585257,0.48,0.35,0.45,0.4,0.46,0,0,19,0,0,0,0,14,7,0,0,0,0,TRUE,NA
YKIC140121Loc_DoubleSound,500,6,4.6131,0.4286,0.2037,0.467522968,0.152940427,0.071182605,0.308354001,Mixture,0.467522968,0.42,0.26,0.37,0.3,0.39,0,0,12,0,0,0,6,4,2,0,0,0,0,TRUE,1
PSIC091610Loc_DoubleSound,1100,-6,17.4605,0.4249,0.7593,0.464870677,0.132047176,0.000797765,0.402284381,Mixture,0.464870677,0.37,0.28,0.36,0.28,0.3,0.01,0,12,0,0,3,3,1,0,0,0,0,0,TRUE,NA
PSIC031711Loc_DoubleSound,903,-6,8.9506,0.2125,0.3687,0.208488781,0.463490195,0.068046087,0.259974937,Average,0.463490195,0.57,0.47,0.39,0.35,0.61,0.01,0.05,16,0,0,0,0,0,4,3,0,0,0,TRUE,NA
PSIC092110Loc_DoubleSound,609,24,3.3741,0.7478,0.1074,0.234665713,0.292674774,0.010337334,0.462322179,Single,0.462322179,0.56,0.54,0.31,0.34,0.6,0.01,0.24,14,0,0,0,0,0,8,1,0,0,0,TRUE,NA
YKIC110111_1Loc_DoubleSound,903,-6,91.7797,0.4277,0.6423,0.148878579,0.183063131,0.206258672,0.461799618,Single,0.461799618,0.55,0.9,0.11,0.48,0.6,0,0,5,0,0,0,0,6,1,2,3,0,0,TRUE,NA
YKIC111011Loc_DoubleSound,903,-6,37.8691,0.4304,0.4057,0.392953478,0.458743499,0.024895604,0.123407419,Average,0.458743499,0.68,0.25,0.47,0.41,0.78,0,0,10,0,0,0,1,0,0,0,1,1,2,TRUE,NA
YKIC102711Loc_DoubleSound,500,-6,41.3908,0.2197,0.1307,0.192106644,0.153200981,0.196105084,0.458587291,Single,0.458587291,0.36,0.84,0.18,0.38,0.31,0,0,6,0,0,2,5,0,0,0,0,0,0,TRUE,NA
YKIC090111_1Loc_DoubleSound,1100,-24,92.4182,0.7118,0.2221,0.206439597,0.222941155,0.113013565,0.457605683,Single,0.457605683,0.37,0.8,0.23,0.39,0.29,0,0,6,0,4,0,0,0,1,1,0,0,0,TRUE,NA
YKIC110211_1Loc_DoubleSound,903,24,15.9007,0.6291,0.7283,0.165320112,0.377429452,0.001072169,0.456178267,Single,0.456178267,0.49,0.13,0.4,0.23,0.48,0.01,0.01,6,0,0,0,4,5,2,3,0,0,0,TRUE,NA
YKIC111011Loc_DoubleSound,609,-6,5.8358,0.3343,0.3979,0.455993644,0.259116786,0.051996628,0.232892942,Mixture,0.455993644,0.5,0.3,0.4,0.3,0.5,0,0,9,0,0,0,1,3,3,1,0,0,0,TRUE,NA
YKIC140528Loc_DoubleSound,500,-6,5.133,0.5499,0.533,0.169731607,0.268303394,0.106135694,0.455829305,Single,0.455829305,0.59,0.32,0.4,0.3,0.65,0,0,14,0,0,0,0,3,4,8,0,0,0,TRUE,1
YKIC102811Loc_DoubleSound,609,-6,4.524,0.5046,0.7509,0.215028602,0.197783115,0.133789953,0.453398329,Single,0.453398329,0.48,0.29,0.38,0.27,0.48,0.05,0.16,7,0,0,0,2,5,4,0,0,0,0,TRUE,NA
YKIC131213Loc_DoubleSound,500,6,20.0135,0.4275,0.5964,0.40154667,0.143068533,0.002596914,0.452787883,Single,0.452787883,0.48,0.71,0.26,0.4,0.48,0,0,5,0,0,0,1,2,2,0,0,0,0,TRUE,1
PSIC100710Loc_DoubleSound,903,6,3.9476,0.2186,0.1786,0.212330251,0.450042873,0.011970471,0.325656405,Average,0.450042873,0.52,0.54,0.4,0.43,0.54,0.06,0.07,5,0,0,0,1,0,7,1,0,0,0,TRUE,NA
YKIC111011_1Loc_DoubleSound,609,-6,3.3067,0.1723,0.3164,0.13514522,0.070010827,0.449911053,0.3449329,Outside,0.449911053,0.52,0.24,0.41,0.26,0.55,0.01,0.2,9,0,0,0,0,2,6,0,0,0,0,TRUE,NA
PSIC090810Loc_DoubleSound,500,24,4.0008,0.5623,0.157,0.290163215,0.448246622,0.055514463,0.2060757,Average,0.448246622,0.44,0.37,0.32,0.29,0.43,0,0.03,8,0,0,0,3,7,0,0,0,0,0,TRUE,NA
YKIC111011_1Loc_DoubleSound,500,6,10.6493,0.6679,0.5259,0.195664026,0.219751868,0.139840017,0.444744089,Single,0.444744089,0.45,0.27,0.34,0.26,0.42,0.01,0.04,7,0,0,0,2,6,0,1,0,0,0,TRUE,NA
PSIC101410Loc_DoubleSound,609,6,14.5001,0.4965,0.1799,0.216885641,0.155986617,0.182485408,0.444642334,Single,0.444642334,0.46,0.29,0.38,0.29,0.45,0,0,13,0,0,0,2,1,3,0,0,0,0,TRUE,NA
PSIC111910Loc_DoubleSound,903,-6,14.1001,0.1051,0.1946,0.444526287,0.406632241,0.029067165,0.119774306,Mixture,0.444526287,0.62,0.67,0.34,0.41,0.69,0,0,14,0,0,0,0,0,2,2,3,0,0,TRUE,NA
PSIC092110Loc_DoubleSound,609,6,20.4839,0.8001,0.5719,0.272546065,0.444481149,0.04182556,0.241147226,Average,0.444481149,0.5,0.29,0.34,0.3,0.52,0,0,18,0,0,0,0,6,8,0,0,0,0,TRUE,NA
PSIC111210Loc_DoubleSound,1100,24,19.3543,0.1421,0.5658,0.443877064,0.330778061,6.41E-05,0.225280804,Mixture,0.443877064,0.7,0.43,0.32,0.21,0.81,0,0,8,0,0,0,0,0,0,3,4,1,0,TRUE,NA
PSIC091510Loc_DoubleSound,1100,24,7.8505,0.2393,0.1485,0.212986856,0.442761148,0.000255849,0.343996147,Average,0.442761148,0.57,0.31,0.34,0.28,0.61,0,0,14,0,0,0,0,3,12,8,1,0,0,TRUE,NA
YKIC072811Loc_DoubleSound,1100,6,6.1399,0.1685,0.1665,0.253333971,0.032307799,0.440719519,0.273638711,Outside,0.440719519,0.45,0.89,0.19,0.36,0.44,0,0,8,0,0,5,0,2,3,1,1,0,0,TRUE,NA
YKIC140528Loc_DoubleSound,1632,6,3.6445,0.2439,0.5904,0.354784337,0.203285237,0.001342469,0.440587958,Single,0.440587958,0.5,0.45,0.29,0.32,0.51,0,0,11,0,0,0,2,1,3,1,0,0,0,TRUE,1
YKIC082611_1Loc_DoubleSound,1100,6,15.7083,0.4332,0.3554,0.137284598,0.087519019,0.336654146,0.438542237,Single,0.438542237,0.42,0.88,0.2,0.38,0.41,0,0,12,0,0,0,6,4,1,1,0,0,0,TRUE,NA
YKIC140219Loc_DoubleSound,1100,-24,5.8272,0.5175,0.3645,0.200560888,0.360870036,0.001532067,0.437037009,Single,0.437037009,0.48,0.41,0.36,0.32,0.45,0,0.04,13,0,0,0,5,2,9,1,0,0,0,TRUE,2
PSIC091410Loc_DoubleSound,609,6,6.1871,0.1646,0.3186,0.080562441,0.434298702,0.066196828,0.418942028,Average,0.434298702,0.63,0.48,0.39,0.36,0.69,0.01,0.31,24,0,0,0,0,0,0,24,0,0,0,TRUE,NA
